datetime,PM2.5,PM10,O3,CO,Temperature,Humidity,hour,dayofweek,month
2022-05-02 07:00:00,17.1666666666667,18.1666666666667,37.5,472.416666666667,15.5475,30.7683333333333,7,0,5
2022-05-02 08:00:00,17.5833333333333,18.5833333333333,34.1666666666667,436.75,18.7416666666667,26.6583333333333,8,0,5
2022-05-02 09:00:00,22.8333333333333,23.9166666666667,46.25,488.5,20.605,28.1183333333333,9,0,5
2022-05-02 12:00:00,51.6666666666667,53.6666666666667,71.8333333333333,436.916666666667,25.4883333333333,21.2966666666667,12,0,5
2022-05-02 13:00:00,41.9166666666667,43.9166666666667,83.0833333333333,441.5,27.7016666666667,18.3408333333333,13,0,5
2022-05-02 14:00:00,45.0,47.0,105.166666666667,440.333333333333,29.5275,16.4616666666667,14,0,5
2022-05-02 23:00:00,69.5833333333333,71.5833333333333,44.4166666666667,381.083333333333,19.3266666666667,22.57,23,0,5
2022-05-03 00:00:00,31.0833333333333,32.3333333333333,47.0833333333333,373.5,18.075,27.2791666666667,0,1,5
2022-05-03 01:00:00,17.8333333333333,18.8333333333333,43.0,374.666666666667,18.0316666666667,27.2858333333333,1,1,5
2022-05-03 02:00:00,18.0,19.0,43.3333333333333,370.75,17.8725,27.3266666666667,2,1,5
2022-05-03 03:00:00,17.0,18.0,40.3333333333333,365.916666666667,17.4891666666667,26.4641666666667,3,1,5
2022-05-03 04:00:00,14.0,15.0,37.3333333333333,367.75,17.2641666666667,25.56,4,1,5
2022-05-03 05:00:00,17.5,18.5,38.6666666666667,397.166666666667,16.9941666666667,26.8316666666667,5,1,5
2022-05-03 06:00:00,18.5,19.5833333333333,42.8333333333333,422.833333333333,16.8666666666667,27.9725,6,1,5
2022-05-03 07:00:00,21.0,22.0,43.6666666666667,454.833333333333,16.9141666666667,28.525,7,1,5
2022-05-03 08:00:00,21.3333333333333,22.4166666666667,39.5,470.416666666667,19.48,25.8108333333333,8,1,5
2022-05-03 09:00:00,25.9230769230769,27.7692307692308,46.0,497.461538461538,20.8569230769231,26.2523076923077,9,1,5
2022-05-03 10:00:00,48.6923076923077,50.6923076923077,44.5384615384615,453.230769230769,21.7569230769231,24.6715384615385,10,1,5
2022-05-03 12:00:00,37.0,39.0,65.0714285714286,436.928571428571,25.73,20.0121428571429,12,1,5
2022-05-03 13:00:00,36.4166666666667,38.4166666666667,80.5833333333333,438.916666666667,27.8216666666667,17.7191666666667,13,1,5
2022-05-03 14:00:00,42.3333333333333,44.3333333333333,86.8333333333333,429.416666666667,29.7583333333333,15.6,14,1,5
2022-05-03 21:00:00,50.8333333333333,52.8333333333333,69.3333333333333,416.75,22.9933333333333,28.8841666666667,21,1,5
2022-05-03 22:00:00,46.0833333333333,48.0833333333333,68.5,408.0,22.1166666666667,31.1716666666667,22,1,5
2022-05-03 23:00:00,39.9230769230769,41.9230769230769,68.3846153846154,398.307692307692,20.2923076923077,35.1130769230769,23,1,5
2022-05-04 00:00:00,52.3333333333333,54.3333333333333,66.75,419.083333333333,18.3308333333333,46.5308333333333,0,2,5
2022-05-04 01:00:00,52.0,54.0,63.9166666666667,434.916666666667,16.335,53.7275,1,2,5
2022-05-04 02:00:00,46.25,48.25,51.75,435.583333333333,16.4008333333333,51.5408333333333,2,2,5
2022-05-04 03:00:00,34.9166666666667,36.9166666666667,45.6666666666667,441.833333333333,16.2166666666667,48.2508333333333,3,2,5
2022-05-04 04:00:00,28.75,30.75,44.0,442.75,15.9566666666667,45.3666666666667,4,2,5
2022-05-04 05:00:00,28.0833333333333,30.0,45.4166666666667,495.75,15.675,44.145,5,2,5
2022-05-04 06:00:00,26.6666666666667,28.5,42.0833333333333,481.166666666667,15.7158333333333,42.2591666666667,6,2,5
2022-05-04 07:00:00,28.0833333333333,30.0833333333333,42.5833333333333,504.416666666667,16.0258333333333,43.1741666666667,7,2,5
2022-05-04 08:00:00,28.5,30.5,40.3333333333333,500.0,19.0966666666667,37.0908333333333,8,2,5
2022-05-04 09:00:00,51.5833333333333,53.5833333333333,41.8333333333333,492.833333333333,21.6041666666667,33.7575,9,2,5
2022-05-04 12:00:00,43.1666666666667,45.1666666666667,78.0,451.916666666667,26.645,22.055,12,2,5
2022-05-04 13:00:00,70.4166666666667,72.4166666666667,79.1666666666667,447.666666666667,28.9308333333333,17.7091666666667,13,2,5
2022-05-04 17:00:00,66.3333333333333,68.3333333333333,96.1666666666667,415.75,28.9083333333333,16.1341666666667,17,2,5
2022-05-04 19:00:00,68.75,70.75,95.25,415.5,23.1366666666667,27.5775,19,2,5
2022-05-04 20:00:00,62.5,64.5,81.6666666666667,418.083333333333,20.8425,32.3033333333333,20,2,5
2022-05-04 21:00:00,59.4166666666667,61.4166666666667,68.8333333333333,414.833333333333,21.265,29.6966666666667,21,2,5
2022-05-04 22:00:00,60.6666666666667,62.6666666666667,60.1666666666667,420.166666666667,20.6183333333333,30.6608333333333,22,2,5
2022-05-04 23:00:00,60.7692307692308,62.7692307692308,58.1538461538462,426.153846153846,19.8646153846154,32.1307692307692,23,2,5
